INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (78086798, 33930659, 509089, 'Pending', '2023-07-22 23:56:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (39738966, 70482105, 974709, 'Pending', '2023-10-23 12:21:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (74617637, 27822365, 138528, 'Completed', '2024-05-08 15:26:05.001091', '2024-05-08 16:16:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (88276015, 49177701, 978846, 'In Progress', '2023-10-27 11:23:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (54143117, 12074484, 754447, 'Cancelled', '2024-05-15 14:39:05.001091', '2024-05-15 14:49:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (72163749, 50637861, 812358, 'In Progress', '2023-10-10 02:14:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (58529063, 43460537, 589694, 'In Progress', '2023-11-11 02:49:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (32546654, 32860087, 615126, 'In Progress', '2023-07-05 11:32:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (66782367, 95890713, 437109, 'Cancelled', '2024-01-09 05:23:05.001091', '2024-01-09 05:33:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (21009615, 58135319, 812358, 'Pending', '2024-03-14 15:43:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (44298641, 40006083, 973965, 'Pending', '2023-09-19 18:01:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (61930734, 22533555, 754447, 'Cancelled', '2024-06-03 12:56:05.001091', '2024-06-03 13:06:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (72776274, 33378906, 437109, 'Completed', '2024-02-12 02:45:05.001091', '2024-02-12 03:35:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (98189639, 34984255, 685930, 'Cancelled', '2024-04-23 19:01:05.001091', '2024-04-23 19:11:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (41410474, 88210341, 974709, 'Completed', '2023-06-22 18:41:05.001091', '2023-06-22 19:31:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (85176681, 33981052, 133689, 'Completed', '2024-04-03 09:51:05.001091', '2024-04-03 10:41:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (39578353, 79606895, 974709, 'Completed', '2024-03-06 18:49:05.001091', '2024-03-06 19:39:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (15870352, 62146859, 962397, 'Pending', '2024-05-29 18:00:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (80685841, 94366551, 182064, 'Pending', '2024-04-24 22:33:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (34083836, 49532117, 795611, 'Completed', '2024-02-16 10:47:05.001091', '2024-02-16 11:37:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (37663474, 13993598, 812358, 'Completed', '2024-03-05 06:40:05.001091', '2024-03-05 07:30:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (71057036, 59078549, 206680, 'In Progress', '2024-05-28 01:58:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (70727900, 83255709, 709925, 'Pending', '2024-05-25 13:03:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (69779855, 92951183, 978846, 'Pending', '2024-01-31 16:18:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (69551747, 35296750, 805310, 'Completed', '2024-05-04 12:47:05.001091', '2024-05-04 13:37:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (38615841, 48358553, 754447, 'Completed', '2023-12-17 15:48:05.001091', '2023-12-17 16:38:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (54667739, 26022021, 995329, 'Completed', '2024-06-08 10:05:05.001091', '2024-06-08 10:55:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (20384417, 72296420, 182064, 'Pending', '2023-11-06 13:12:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (21670264, 63779612, 615126, 'In Progress', '2024-05-08 20:44:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (47209016, 23581374, 538141, 'Completed', '2024-06-17 00:18:05.001091', '2024-06-17 01:08:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (47734244, 69264964, 103638, 'Completed', '2024-02-25 15:27:05.001091', '2024-02-25 16:17:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (56106677, 62272639, 962397, 'Pending', '2023-09-11 09:49:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (23152316, 31375642, 502854, 'Pending', '2023-11-24 17:35:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (10454314, 88016802, 978846, 'Completed', '2024-06-17 23:14:05.001091', '2024-06-18 00:04:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (81638183, 69099377, 616687, 'Completed', '2024-02-17 13:21:05.001091', '2024-02-17 14:11:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (19002066, 57283614, 538141, 'Completed', '2024-04-08 04:54:05.001091', '2024-04-08 05:44:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (27866360, 51338940, 995329, 'Pending', '2024-06-18 15:56:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (60481970, 11083215, 133689, 'Pending', '2023-07-24 13:00:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (47071230, 63024949, 995329, 'Cancelled', '2024-05-11 23:42:05.001091', '2024-05-11 23:52:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (96020186, 70746474, 356136, 'Pending', '2024-02-12 00:57:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (47276155, 21083197, 499720, 'Pending', '2024-03-04 14:27:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (50558508, 94872065, 538141, 'Cancelled', '2023-08-08 17:24:05.001091', '2023-08-08 17:34:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (47467403, 71012763, 795611, 'Completed', '2024-04-23 13:53:05.001091', '2024-04-23 14:43:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (62394123, 90586168, 616687, 'In Progress', '2023-12-27 00:31:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (30409117, 51075996, 499720, 'Cancelled', '2024-06-01 09:46:05.001091', '2024-06-01 09:56:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (36723975, 62790657, 174581, 'Pending', '2023-09-10 09:35:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (20220642, 69715096, 182064, 'Completed', '2023-11-09 19:50:05.001091', '2023-11-09 20:40:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (98585458, 49532117, 300606, 'In Progress', '2024-05-08 09:34:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (28927240, 31320867, 962397, 'Cancelled', '2024-06-03 09:51:05.001091', '2024-06-03 10:01:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (64992220, 22032769, 670719, 'Completed', '2023-11-10 00:35:05.001091', '2023-11-10 01:25:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (49829967, 73386650, 670719, 'Completed', '2023-11-24 07:31:05.001091', '2023-11-24 08:21:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (91412904, 45346286, 805310, 'In Progress', '2024-05-11 08:16:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (93520518, 26837809, 589694, 'Completed', '2024-02-21 13:05:05.001091', '2024-02-21 13:55:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (96698023, 20614434, 709925, 'Completed', '2023-08-09 08:38:05.001091', '2023-08-09 09:28:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (18274146, 83319219, 643380, 'Pending', '2024-03-10 14:17:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (84789718, 28016309, 322061, 'Completed', '2023-09-08 11:53:05.001091', '2023-09-08 12:43:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (44420737, 70278635, 685930, 'In Progress', '2023-07-23 17:00:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (24009825, 47989817, 298232, 'Cancelled', '2024-06-02 04:54:05.001091', '2024-06-02 05:04:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (75809019, 21040933, 709925, 'Cancelled', '2023-10-03 18:42:05.001091', '2023-10-03 18:52:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (36875090, 37973585, 103638, 'Pending', '2023-10-22 07:59:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (83346184, 36417917, 161174, 'Pending', '2023-07-07 02:54:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (40979885, 56102488, 509089, 'Pending', '2024-05-12 05:17:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (57044281, 91117896, 973965, 'Completed', '2023-09-17 20:05:05.001091', '2023-09-17 20:55:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (89702472, 39494044, 643380, 'In Progress', '2023-09-10 03:02:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (27103286, 13462484, 962397, 'Cancelled', '2024-01-15 00:05:05.001091', '2024-01-15 00:15:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (30196476, 77206579, 557849, 'In Progress', '2023-09-12 17:19:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (88078812, 34306769, 777768, 'In Progress', '2024-04-25 21:01:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (98227873, 60716787, 759850, 'In Progress', '2024-01-14 03:45:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (50115232, 64775780, 138528, 'Cancelled', '2024-02-28 09:20:05.001091', '2024-02-28 09:30:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (62829532, 87418941, 133689, 'In Progress', '2023-08-10 15:50:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (79227798, 71605053, 589694, 'Completed', '2024-05-12 16:24:05.001091', '2024-05-12 17:14:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (20369744, 65360985, 615126, 'In Progress', '2023-12-20 08:27:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (51846034, 71524617, 298232, 'Pending', '2023-08-29 04:02:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (89323448, 51764257, 161174, 'Pending', '2024-01-28 04:07:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (60682197, 33878702, 616687, 'In Progress', '2024-03-19 14:23:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (31148708, 35266474, 463214, 'Completed', '2023-11-20 17:45:05.001091', '2023-11-20 18:35:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (61604228, 15746793, 138528, 'Completed', '2024-04-27 10:34:05.001091', '2024-04-27 11:24:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (38392875, 71256943, 502854, 'Cancelled', '2024-01-29 23:55:05.001091', '2024-01-30 00:05:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (32363350, 53713365, 602461, 'Completed', '2024-01-07 20:41:05.001091', '2024-01-07 21:31:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (96664553, 27735782, 245622, 'Cancelled', '2023-11-14 19:58:05.001091', '2023-11-14 20:08:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (82246569, 92961561, 754447, 'Completed', '2023-07-18 13:09:05.001091', '2023-07-18 13:59:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (36091460, 36670485, 118135, 'In Progress', '2023-08-28 09:38:05.001091', NULL);
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (30124208, 33378906, 973965, 'Cancelled', '2023-07-12 15:29:05.001091', '2023-07-12 15:39:05.001091');
INSERT INTO entregas (entrega_id, pedido_id, entregador_id, status, hora_aceitacao, hora_conclusao) VALUES (41481675, 29793954, 974709, 'Pending', '2023-09-20 22:14:05.001091', NULL);
