INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (72824099, 491377, '897122', '2024-03-16 05:08:00.175614', 'Pending', 768.5, {'788': 10});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (48119167, 721086, '365193', '2024-04-24 21:09:00.175614', 'Completed', 222.48, {'419': 3});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (87956776, 534819, '202305', '2024-05-13 06:56:00.175614', 'Cancelled', 464.59000000000003, {'161': 7});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (97497234, 753328, '882689', '2024-04-28 15:00:00.175614', 'Cancelled', 139.44, {'922': 7});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (91823142, 306775, '161763', '2023-08-13 15:37:00.175614', 'Pending', 30.06, {'524': 3});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (29817349, 983564, '549469', '2024-02-10 07:58:00.175614', 'In Progress', 304.2, {'160': 9});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (51618222, 223925, '856996', '2024-04-18 23:37:00.175614', 'In Progress', 485.46, {'137': 9});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (26532050, 942357, '897122', '2023-09-28 14:38:00.175614', 'In Progress', 537.9499999999999, {'788': 7});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (44888175, 620178, '897122', '2024-05-17 14:47:00.175614', 'In Progress', 70.32, {'726': 4});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (97387569, 227496, '400851', '2024-03-25 15:46:00.175614', 'In Progress', 594.44, {'545': 7});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (49548311, 705809, '365193', '2024-03-16 10:39:00.175614', 'Completed', 92.43, {'578': 1});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (48695817, 513255, '516536', '2023-08-21 18:46:00.175614', 'In Progress', 839.34, {'384': 9});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (76573618, 522175, '400851', '2024-06-08 11:11:00.175614', 'In Progress', 660.51, {'974': 9});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (13144386, 769696, '400851', '2023-08-31 20:54:00.175614', 'Completed', 297.65999999999997, {'731': 6});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (25956648, 875266, '516536', '2023-10-30 23:35:00.175614', 'Pending', 161.56, {'127': 2});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (55181215, 101011, '161763', '2024-04-12 16:39:00.175614', 'Completed', 630.35, {'207': 7});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (86414994, 115011, '202305', '2024-02-27 10:16:00.175614', 'In Progress', 745.1, {'179': 10});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (91542734, 381440, '202305', '2023-07-26 18:06:00.175614', 'Pending', 619.04, {'835': 8});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (64137737, 154932, '365193', '2024-05-26 07:03:00.175614', 'In Progress', 92.43, {'578': 1});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (14345088, 714827, '202305', '2023-07-30 05:51:00.175614', 'Completed', 22.25, {'783': 1});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (45236086, 557467, '897122', '2024-05-17 14:20:00.175614', 'Completed', 53.22, {'337': 1});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (70248866, 874850, '882689', '2023-11-19 23:24:00.175614', 'Completed', 448.0, {'663': 7});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (16208071, 221700, '365193', '2023-07-18 20:17:00.175614', 'Pending', 554.58, {'578': 6});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (35751779, 143408, '216182', '2023-10-11 18:44:00.175614', 'Completed', 136.35000000000002, {'745': 3});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (28130844, 268469, '882689', '2023-09-19 07:24:00.175614', 'Cancelled', 392.56, {'603': 4});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (82779305, 714827, '897122', '2023-10-08 01:06:00.175614', 'Pending', 175.79999999999998, {'726': 10});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (52703746, 427701, '202305', '2023-10-16 00:57:00.175614', 'Pending', 386.9, {'835': 5});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (87091191, 749548, '202305', '2024-04-21 21:02:00.175614', 'Cancelled', 619.04, {'835': 8});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (87822622, 357214, '365193', '2024-03-31 17:43:00.175614', 'In Progress', 223.64999999999998, {'343': 5});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (13895073, 325854, '400851', '2023-11-12 21:33:00.175614', 'Completed', 538.5600000000001, {'541': 6});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (50348873, 743257, '516536', '2024-05-09 01:10:00.175614', 'Cancelled', 80.78, {'127': 1});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (46531710, 481767, '202305', '2023-07-30 04:17:00.175614', 'Completed', 192.36, {'387': 4});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (70660912, 947182, '882689', '2023-12-05 07:15:00.175614', 'Pending', 473.62, {'195': 7});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (20989683, 630238, '365193', '2023-12-06 06:59:00.175614', 'Cancelled', 74.16, {'419': 1});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (30699207, 463231, '161763', '2023-08-12 09:30:00.175614', 'In Progress', 464.4, {'180': 10});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (14245696, 283172, '897122', '2023-07-24 06:23:00.175614', 'In Progress', 537.9499999999999, {'788': 7});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (59253630, 191035, '516536', '2024-02-19 22:51:00.175614', 'In Progress', 856.0, {'228': 10});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (49598989, 920393, '161763', '2024-01-30 07:10:00.175614', 'Cancelled', 489.51000000000005, {'862': 7});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (80453088, 942357, '882689', '2024-05-01 18:29:00.175614', 'Completed', 591.36, {'497': 8});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (60272464, 357214, '897122', '2023-07-11 11:40:00.175614', 'Completed', 52.14, {'851': 1});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (85450201, 992222, '161763', '2023-07-15 21:31:00.175614', 'In Progress', 269.46000000000004, {'221': 9});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (64142059, 356008, '549469', '2023-11-05 16:00:00.175614', 'Cancelled', 80.92, {'537': 4});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (63909498, 981654, '856996', '2023-07-05 21:19:00.175614', 'Completed', 295.56000000000006, {'573': 9});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (38332973, 624595, '216182', '2024-01-19 11:35:00.175614', 'In Progress', 45.45, {'745': 1});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (31320867, 121276, '161763', '2024-01-20 15:52:00.175614', 'In Progress', 136.5, {'229': 6});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (66362559, 668747, '516536', '2024-01-09 22:44:00.175614', 'Cancelled', 381.2, {'552': 4});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (10448818, 191035, '882689', '2024-03-27 20:41:00.175614', 'In Progress', 148.08, {'154': 8});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (36208583, 276541, '549469', '2024-05-28 04:04:00.175614', 'Pending', 78.61, {'228': 7});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (10335915, 641539, '202305', '2023-09-05 05:41:00.175614', 'Completed', 619.04, {'835': 8});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (26655276, 522175, '202305', '2024-01-02 07:58:00.175614', 'In Progress', 130.26, {'248': 3});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (81312647, 278837, '202305', '2023-10-10 23:12:00.175614', 'Pending', 89.0, {'783': 4});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (94117888, 130100, '516536', '2024-01-06 01:25:00.175614', 'Cancelled', 546.9000000000001, {'888': 6});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (50045826, 749548, '161763', '2023-06-26 08:58:00.175614', 'In Progress', 32.62, {'411': 2});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (90702100, 317419, '897122', '2023-11-15 16:55:00.175614', 'Cancelled', 156.42000000000002, {'851': 3});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (70422212, 538839, '516536', '2023-08-22 18:40:00.175614', 'Pending', 11.98, {'196': 1});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (46627541, 947182, '549469', '2024-03-10 14:01:00.175614', 'Completed', 275.8, {'550': 4});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (55067358, 653260, '202305', '2023-11-06 07:16:00.175614', 'Pending', 784.32, {'723': 8});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (83589817, 721495, '365193', '2024-03-18 03:59:00.175614', 'Completed', 388.08, {'712': 8});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (85603106, 948769, '516536', '2024-01-01 19:13:00.175614', 'Cancelled', 419.40000000000003, {'727': 9});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (73776824, 777605, '161763', '2024-05-08 03:30:00.175614', 'Completed', 543.0, {'958': 6});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (29372002, 990404, '202305', '2023-10-04 11:14:00.175614', 'Completed', 686.2800000000001, {'723': 7});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (27748697, 743257, '856996', '2023-10-03 19:35:00.175614', 'Pending', 469.63, {'733': 7});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (82598019, 106768, '549469', '2023-09-18 08:09:00.175614', 'Pending', 202.3, {'537': 10});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (97283041, 139475, '897122', '2024-03-19 09:04:00.175614', 'Completed', 55.5, {'958': 1});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (67003403, 551369, '216182', '2024-05-09 17:19:00.175614', 'Completed', 52.54, {'393': 1});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (47755690, 743257, '516536', '2023-08-12 12:16:00.175614', 'Cancelled', 35.94, {'196': 3});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (75995698, 656995, '161763', '2024-01-16 21:55:00.175614', 'In Progress', 99.99, {'157': 3});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (53409247, 817465, '400851', '2023-09-03 02:53:00.175614', 'In Progress', 862.9000000000001, {'665': 10});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (54750976, 558560, '549469', '2023-11-02 17:34:00.175614', 'Pending', 200.67000000000002, {'946': 3});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (87109489, 799124, '202305', '2024-05-28 22:08:00.175614', 'Pending', 115.38, {'495': 3});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (90763456, 895254, '516536', '2023-10-29 17:10:00.175614', 'In Progress', 234.57, {'998': 7});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (19628995, 984918, '365193', '2024-01-12 15:47:00.175614', 'Cancelled', 288.2, {'426': 4});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (84362277, 777854, '897122', '2023-10-09 05:34:00.175614', 'Pending', 521.4, {'851': 10});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (22204805, 894492, '365193', '2024-06-02 03:07:00.175614', 'Pending', 291.06, {'712': 6});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (27334731, 356008, '897122', '2024-02-19 11:48:00.175614', 'Cancelled', 127.35000000000001, {'537': 3});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (12567360, 939917, '516536', '2024-03-05 19:08:00.175614', 'Cancelled', 190.6, {'552': 2});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (60279588, 878294, '516536', '2024-04-19 16:10:00.175614', 'Cancelled', 877.6999999999999, {'482': 10});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (78538160, 852309, '549469', '2024-04-30 04:59:00.175614', 'Pending', 112.68, {'210': 6});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (86097157, 697825, '161763', '2024-04-27 23:52:00.175614', 'Cancelled', 417.96, {'180': 9});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (13811593, 983564, '882689', '2023-12-09 18:12:00.175614', 'Completed', 512.0, {'663': 8});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (55295740, 721086, '161763', '2023-12-14 17:20:00.175614', 'In Progress', 45.5, {'229': 2});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (75374142, 653260, '202305', '2024-05-05 23:10:00.175614', 'Cancelled', 192.3, {'495': 5});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (43768469, 884298, '202305', '2024-01-26 16:13:00.175614', 'In Progress', 223.53000000000003, {'179': 3});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (41893347, 874850, '202305', '2023-12-05 09:16:00.175614', 'In Progress', 745.1, {'179': 10});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (11991827, 721086, '516536', '2023-09-19 00:12:00.175614', 'Pending', 81.89999999999999, {'463': 7});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (63269477, 223925, '161763', '2024-03-10 08:04:00.175614', 'Completed', 905.0, {'958': 10});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (74443343, 522175, '202305', '2024-02-28 20:09:00.175614', 'Cancelled', 458.65000000000003, {'305': 5});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (14771451, 983564, '549469', '2024-06-09 18:50:00.175614', 'Completed', 502.08, {'905': 8});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (50187980, 947182, '516536', '2024-02-04 18:32:00.175614', 'Pending', 652.82, {'384': 7});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (75990247, 920393, '856996', '2023-10-21 10:47:00.175614', 'Pending', 432.67, {'127': 7});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (76146797, 807907, '897122', '2024-04-10 22:46:00.175614', 'Pending', 52.739999999999995, {'726': 3});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (48415249, 191035, '882689', '2024-03-14 06:38:00.175614', 'Pending', 596.24, {'604': 8});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (98279253, 412195, '856996', '2024-01-11 19:58:00.175614', 'In Progress', 53.94, {'137': 1});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (41218890, 278837, '882689', '2023-12-22 15:00:00.175614', 'Pending', 426.65000000000003, {'980': 7});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (84107716, 223925, '365193', '2023-08-06 05:46:00.175614', 'In Progress', 846.0, {'582': 10});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (93700271, 221700, '882689', '2024-04-09 20:17:00.175614', 'Completed', 298.12, {'604': 4});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (66069129, 799124, '216182', '2023-08-01 03:37:00.175614', 'Cancelled', 763.8, {'954': 10});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (92293406, 739748, '365193', '2024-01-15 00:05:00.175614', 'Cancelled', 314.7, {'212': 10});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (74450892, 270807, '882689', '2023-11-10 13:53:00.175614', 'Completed', 567.42, {'807': 6});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (91312113, 942891, '549469', '2023-07-07 02:56:00.175614', 'In Progress', 483.5, {'881': 10});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (54575413, 482179, '161763', '2024-02-23 16:46:00.175614', 'Pending', 30.06, {'524': 3});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (32305962, 658533, '400851', '2023-10-21 02:03:00.175614', 'Completed', 58.150000000000006, {'351': 5});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (49510496, 870232, '202305', '2023-10-09 16:22:00.175614', 'Completed', 137.76, {'620': 8});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (17945136, 221700, '549469', '2024-01-29 18:08:00.175614', 'Cancelled', 206.85000000000002, {'550': 3});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (78286271, 920393, '400851', '2024-03-27 10:01:00.175614', 'Cancelled', 514.85, {'234': 7});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (32438980, 769696, '856996', '2023-09-06 02:39:00.175614', 'In Progress', 473.04, {'949': 8});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (27831391, 533324, '882689', '2023-08-26 12:40:00.175614', 'Cancelled', 350.6, {'699': 5});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (61276378, 306775, '365193', '2024-02-28 21:58:00.175614', 'In Progress', 554.58, {'578': 6});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (45448752, 121276, '216182', '2023-06-29 05:18:00.175614', 'Completed', 122.91, {'785': 3});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (96560479, 571266, '549469', '2023-07-02 20:09:00.175614', 'Completed', 334.45, {'946': 5});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (62117406, 278837, '882689', '2023-10-20 13:19:00.175614', 'Pending', 701.2, {'699': 10});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (75894644, 106768, '365193', '2024-03-27 20:58:00.175614', 'Completed', 193.32, {'943': 6});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (22539301, 317419, '216182', '2024-03-19 17:53:00.175614', 'Completed', 55.62, {'668': 1});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (73366601, 921982, '549469', '2023-08-16 14:47:00.175614', 'Pending', 317.94, {'254': 7});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (32980786, 581715, '216182', '2023-12-07 00:19:00.175614', 'Pending', 181.8, {'745': 4});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (97521561, 981654, '216182', '2023-09-24 18:50:00.175614', 'Completed', 698.1999999999999, {'333': 10});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (39396936, 689285, '516536', '2024-04-15 10:15:00.175614', 'Pending', 68.15, {'263': 1});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (29355207, 834031, '516536', '2023-09-25 03:30:00.175614', 'Pending', 856.0, {'228': 10});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (61577441, 818866, '882689', '2024-06-04 14:26:00.175614', 'Cancelled', 149.06, {'604': 2});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (69293302, 753328, '549469', '2023-09-15 16:19:00.175614', 'Cancelled', 45.42, {'254': 1});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (50085381, 268469, '365193', '2023-11-07 08:27:00.175614', 'Completed', 223.64999999999998, {'343': 5});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (56754163, 749548, '882689', '2023-07-15 17:16:00.175614', 'Pending', 88.2, {'911': 1});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (19348586, 571266, '400851', '2023-09-10 10:11:00.175614', 'Cancelled', 165.66, {'446': 2});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (45303674, 803663, '882689', '2023-12-18 03:20:00.175614', 'In Progress', 134.46, {'567': 3});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (12820551, 916998, '897122', '2023-09-11 11:18:00.175614', 'Cancelled', 364.98, {'851': 7});
INSERT INTO pedidos (pedido_id, cliente_id, restaurante_id, data_hora_pedido, status, total, itens) VALUES (15946115, 913559, '516536', '2023-12-31 02:21:00.175614', 'Pending', 807.8, {'127': 10});
