INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (798, 'Item 798', 10);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (832, 'Item 832', 13);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (637, 'Item 637', 1);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (950, 'Item 950', 9);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (395, 'Item 395', 9);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (984, 'Item 984', 12);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (391, 'Item 391', 17);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (810, 'Item 810', 3);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (999, 'Item 999', 3);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (674, 'Item 674', 20);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (908, 'Item 908', 7);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (342, 'Item 342', 21);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (273, 'Item 273', 2);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (971, 'Item 971', 9);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (265, 'Item 265', 11);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (390, 'Item 390', 7);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (130, 'Item 130', 10);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (842, 'Item 842', 9);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (692, 'Item 692', 7);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (123, 'Item 123', 10);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (613, 'Item 613', 11);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (512, 'Item 512', 11);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (329, 'Item 329', 15);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (747, 'Item 747', 7);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (477, 'Item 477', 9);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (851, 'Item 851', 11);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (766, 'Item 766', 2);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (828, 'Item 828', 8);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (840, 'Item 840', 7);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (859, 'Item 859', 12);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (702, 'Item 702', 4);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (489, 'Item 489', 5);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (706, 'Item 706', 7);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (186, 'Item 186', 5);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (317, 'Item 317', 7);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (673, 'Item 673', 10);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (398, 'Item 398', 5);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (183, 'Item 183', 17);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (725, 'Item 725', 7);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (520, 'Item 520', 3);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (675, 'Item 675', 7);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (176, 'Item 176', 8);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (656, 'Item 656', 8);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (341, 'Item 341', 7);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (793, 'Item 793', 9);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (654, 'Item 654', 13);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (419, 'Item 419', 8);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (359, 'Item 359', 1);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (157, 'Item 157', 5);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (690, 'Item 690', 8);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (545, 'Item 545', 1);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (230, 'Item 230', 8);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (830, 'Item 830', 10);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (746, 'Item 746', 9);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (786, 'Item 786', 12);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (953, 'Item 953', 8);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (522, 'Item 522', 18);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (831, 'Item 831', 3);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (441, 'Item 441', 3);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (994, 'Item 994', 2);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (544, 'Item 544', 3);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (947, 'Item 947', 2);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (571, 'Item 571', 10);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (633, 'Item 633', 6);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (153, 'Item 153', 10);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (583, 'Item 583', 11);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (146, 'Item 146', 1);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (823, 'Item 823', 8);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (494, 'Item 494', 2);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (385, 'Item 385', 2);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (837, 'Item 837', 9);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (408, 'Item 408', 9);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (295, 'Item 295', 4);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (933, 'Item 933', 10);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (100, 'Item 100', 5);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (919, 'Item 919', 9);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (700, 'Item 700', 11);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (827, 'Item 827', 6);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (814, 'Item 814', 3);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (537, 'Item 537', 1);
INSERT INTO agregados_vendas_by_quantidade (item_id, nome, quantidade_total) VALUES (496, 'Item 496', 7);
